ID	KSH	ISZ	MEGYE_ID	MEGYE	TELEPULES
1527	7418	5083	10	Jász-Nagykun-Szolnok	Kengyel
1528	9937	9514	17	Vas	Kenyeri
1529	26596	9945	17	Vas	Kercaszomor
1530	14386	7256	14	Somogy	Kercseliget
1531	28079	3396	9	Heves	Kerecsend
1532	31529	8745	19	Zala	Kerecseny
1533	22530	6041	1	Bács-Kiskun	Kerekegyháza
1534	4598	8618	14	Somogy	Kereki
1535	10995	2882	11	Komárom-Esztergom	Kerékteleki
1536	34166	2144	13	Pest	Kerepes
1537	34166	2145	13	Pest	Kerepes
1538	17066	3821	4	Borsod-Abaúj-Zemplén	Keresztéte
1539	29489	8971	19	Zala	Kerkabarabás
1540	15112	8973	19	Zala	Kerkafalva
1541	22080	8973	19	Zala	Kerkakutas
1542	19761	9944	17	Vas	Kerkáskápolna
1543	9575	8874	19	Zala	Kerkaszentkirály
1544	32647	8879	19	Zala	Kerkateskánd
1545	32869	4912	15	Szabolcs-Szatmár-Bereg	Kérsemjén
1546	25654	8492	18	Veszprém	Kerta
1547	12618	5526	3	Békés	Kertészsziget
1548	31413	2616	12	Nógrád	Keszeg
1549	29249	3579	4	Borsod-Abaúj-Zemplén	Kesznyéten
1550	17640	7062	16	Tolna	Keszõhidegkút
1551	18421	8360	19	Zala	Keszthely
1552	29577	2517	11	Komárom-Esztergom	Kesztölc
1553	3832	7668	2	Baranya	Keszü
1554	11846	2655	12	Nógrád	Kétbodony
1555	3461	5741	3	Békés	Kétegyháza
1556	11174	8713	14	Somogy	Kéthely
1557	19813	5411	10	Jász-Nagykun-Szolnok	Kétpó
1558	3106	5674	3	Békés	Kétsoprony
1559	8572	7975	2	Baranya	Kétújfalu
1560	19345	9982	17	Vas	Kétvölgy
1561	21731	7174	16	Tolna	Kéty
1562	31574	5744	3	Békés	Kevermes
1563	32267	8774	19	Zala	Kilimán
1564	14748	9181	7	Gyõr-Moson-Sopron	Kimle
1565	2343	8044	6	Fejér	Kincsesbánya
1566	32090	3657	4	Borsod-Abaúj-Zemplén	Királd
1567	20552	7953	2	Baranya	Királyegyháza
1568	13666	6911	5	Csongrád	Királyhegyes
1569	5421	8195	18	Veszprém	Királyszentistván
1570	7931	8284	18	Veszprém	Kisapáti
1571	12636	2428	6	Fejér	Kisapostag
1572	19424	4921	15	Szabolcs-Szatmár-Bereg	Kisar
1573	19053	7523	14	Somogy	Kisasszond
1574	18908	7954	2	Baranya	Kisasszonyfa
1575	2413	9133	7	Gyõr-Moson-Sopron	Kisbabot
1576	27243	3046	12	Nógrád	Kisbágyon
1577	22886	9062	7	Gyõr-Moson-Sopron	Kisbajcs
1578	24387	7542	14	Somogy	Kisbajom
1579	24493	7282	14	Somogy	Kisbárapáti
1580	26295	3075	12	Nógrád	Kisbárkány
1581	17330	2870	11	Komárom-Esztergom	Kisbér
1582	17330	2879	11	Komárom-Esztergom	Kisbér
1583	30827	8693	14	Somogy	Kisberény
1584	29072	8477	18	Veszprém	Kisberzseny
1585	5722	7391	2	Baranya	Kisbeszterce
1586	7816	9234	7	Gyõr-Moson-Sopron	Kisbodak
1587	21379	8925	19	Zala	Kisbucsa
1588	22868	7756	2	Baranya	Kisbudmér
1589	17349	3578	4	Borsod-Abaúj-Zemplén	Kiscsécs
1590	16249	8888	19	Zala	Kiscsehi
1591	23700	8494	18	Veszprém	Kiscsõsz
1592	11183	7814	2	Baranya	Kisdér
1593	33905	7985	2	Baranya	Kisdobsza
1594	18838	5837	3	Békés	Kisdombegyház
1595	17710	7159	16	Tolna	Kisdorog
1596	33206	2655	12	Nógrád	Kisecset
1597	33695	9341	7	Gyõr-Moson-Sopron	Kisfalud
1598	22460	3256	9	Heves	Kisfüzes
1599	4826	7279	14	Somogy	Kisgyalán
1600	22840	3556	4	Borsod-Abaúj-Zemplén	Kisgyõr
1601	9812	8356	19	Zala	Kisgörbõ
1602	6831	7391	2	Baranya	Kishajmás
1603	27021	7800	2	Baranya	Kisharsány
1604	33400	3161	12	Nógrád	Kishartyán
1605	16975	7763	2	Baranya	Kisherend
1606	8509	4977	15	Szabolcs-Szatmár-Bereg	Kishódos
1607	28875	3994	4	Borsod-Abaúj-Zemplén	Kishuta
1608	20923	2948	11	Komárom-Esztergom	Kisigmánd
1609	12849	7773	2	Baranya	Kisjakabfalva
1610	19910	7766	2	Baranya	Kiskassa
1611	3762	3843	4	Borsod-Abaúj-Zemplén	Kiskinizs
1612	13781	7524	14	Somogy	Kiskorpád
1613	9344	6200	1	Bács-Kiskun	Kiskõrös
1614	20297	6100	1	Bács-Kiskun	Kiskunfélegyháza
1615	32434	6400	1	Bács-Kiskun	Kiskunhalas
1616	10816	2340	13	Pest	Kiskunlacháza
1617	24396	6120	1	Bács-Kiskun	Kiskunmajsa
1618	20312	8911	19	Zala	Kiskutas
1619	18281	3384	9	Heves	Kisköre
1620	28990	8156	6	Fejér	Kisláng
1621	28477	4325	15	Szabolcs-Szatmár-Bereg	Kisléta
1622	21616	7775	2	Baranya	Kislippó
1623	30173	8446	18	Veszprém	Kislõd
1624	6512	7356	16	Tolna	Kismányok
1625	15477	4126	8	Hajdú-Bihar	Kismarja
1626	33738	2623	13	Pest	Kismaros
1627	16036	4737	15	Szabolcs-Szatmár-Bereg	Kisnamény
1628	12502	3264	9	Heves	Kisnána
1629	5227	2165	13	Pest	Kisnémedi
1630	33215	7759	2	Baranya	Kisnyárád
1631	29850	2024	13	Pest	Kisoroszi
1632	29300	4956	15	Szabolcs-Szatmár-Bereg	Kispalád
1633	16081	8912	19	Zala	Kispáli
1634	4288	8496	18	Veszprém	Kispirit
1635	11147	9936	17	Vas	Kisrákos
1636	32726	8756	19	Zala	Kisrécse
1637	11448	3965	4	Borsod-Abaúj-Zemplén	Kisrozvágy
1638	14702	3627	4	Borsod-Abaúj-Zemplén	Kissikátor
1639	5953	9555	17	Vas	Kissomlyó
1640	28158	6421	1	Bács-Kiskun	Kisszállás
1641	27766	7082	16	Tolna	Kisszékely
1642	9751	4963	15	Szabolcs-Szatmár-Bereg	Kisszekeres
1643	8651	7841	2	Baranya	Kisszentmárton
1644	13055	8957	19	Zala	Kissziget
1645	23001	8483	18	Veszprém	Kisszõlõs
1646	12353	7981	2	Baranya	Kistamási
1647	3151	7823	2	Baranya	Kistapolca
1648	34157	2143	13	Pest	Kistarcsa
1649	31024	6760	5	Csongrád	Kistelek
1650	12399	3553	4	Borsod-Abaúj-Zemplén	Kistokaj
1651	20941	8868	19	Zala	Kistolmács
1652	3869	7068	16	Tolna	Kistormás
1653	10746	7768	2	Baranya	Kistótfalu
1654	25919	5310	10	Jász-Nagykun-Szolnok	Kisújszállás
1655	2501	9772	17	Vas	Kisunyom
1656	9265	4600	15	Szabolcs-Szatmár-Bereg	Kisvárda
1657	12672	4811	15	Szabolcs-Szatmár-Bereg	Kisvarsány
1658	16364	8341	19	Zala	Kisvásárhely
1659	9548	7381	2	Baranya	Kisvaszar
1660	31185	7183	16	Tolna	Kisvejke
1661	26666	6775	5	Csongrád	Kiszombor
1662	15486	9733	17	Vas	Kiszsidány
1663	8253	6773	5	Csongrád	Klárafalva
1664	2510	2898	11	Komárom-Esztergom	Kocs
1665	32771	2755	13	Pest	Kocsér
1666	22433	7212	16	Tolna	Kocsola
1667	7445	4751	15	Szabolcs-Szatmár-Bereg	Kocsord
1668	31361	2243	13	Pest	Kóka
1669	17455	4284	8	Hajdú-Bihar	Kokad
1670	13745	7530	14	Somogy	Kõkút
1671	30182	8468	18	Veszprém	Kolontár
1672	2167	4138	8	Hajdú-Bihar	Komádi
1673	5449	2900	11	Komárom-Esztergom	Komárom
1674	5449	2903	11	Komárom-Esztergom	Komárom
1675	5449	2921	11	Komárom-Esztergom	Komárom
1676	10612	3765	4	Borsod-Abaúj-Zemplén	Komjáti
1677	26408	7300	2	Baranya	Komló
1678	26408	7305	2	Baranya	Komló
1679	22336	4765	15	Szabolcs-Szatmár-Bereg	Komlódtótfalu
1680	9858	7582	14	Somogy	Komlósd
1681	16559	3937	4	Borsod-Abaúj-Zemplén	Komlóska
1682	27146	4622	15	Szabolcs-Szatmár-Bereg	Komoró
1683	23995	3356	9	Heves	Kompolt
1684	32498	3775	4	Borsod-Abaúj-Zemplén	Kondó
1685	13028	9943	17	Vas	Kondorfa
1686	10287	5553	3	Békés	Kondoros
1687	11262	9144	7	Gyõr-Moson-Sopron	Kóny
1688	25964	4133	8	Hajdú-Bihar	Konyár
1689	6895	9495	7	Gyõr-Moson-Sopron	Kópháza
1690	21184	7094	16	Tolna	Koppányszántó
1691	22956	3886	4	Borsod-Abaúj-Zemplén	Korlát
1692	24633	9113	7	Gyõr-Moson-Sopron	Koroncó
1693	8110	7841	2	Baranya	Kórós
1694	15510	8617	14	Somogy	Kõröshegy
1695	32975	2745	13	Pest	Kõröstetétlen
1696	27687	2612	13	Pest	Kosd
1697	24679	2625	13	Pest	Kóspallag
1698	30650	8152	6	Fejér	Kõszárhegy
1699	16832	9730	17	Vas	Kõszeg
1700	5740	9725	17	Vas	Kõszegdoroszló
1701	26046	9739	17	Vas	Kõszegpaty
1702	20109	9725	17	Vas	Kõszegszerdahely
1703	23728	4482	15	Szabolcs-Szatmár-Bereg	Kótaj
1704	11235	5062	10	Jász-Nagykun-Szolnok	Kõtelek
1705	24226	7847	2	Baranya	Kovácshida
1706	14517	7678	2	Baranya	Kovácsszénája
1707	28547	3992	4	Borsod-Abaúj-Zemplén	Kovácsvágás
1708	15538	7673	2	Baranya	Kõvágószõlõs
1709	6992	7675	2	Baranya	Kõvágótõttõs
1710	23454	8254	18	Veszprém	Kõvágóörs
1711	13842	3053	12	Nógrád	Kozárd
1712	6336	7761	2	Baranya	Kozármisleny
1713	13082	8988	19	Zala	Kozmadombja
1714	19576	3821	4	Borsod-Abaúj-Zemplén	Krasznokvajda
1715	34209	2458	6	Fejér	Kulcs
1716	5856	6097	1	Bács-Kiskun	Kunadacs
1717	16045	5746	3	Békés	Kunágota
1718	6044	6435	1	Bács-Kiskun	Kunbaja
1719	7728	6043	1	Bács-Kiskun	Kunbaracs
1720	5254	5412	10	Jász-Nagykun-Szolnok	Kuncsorba
1721	29027	6413	1	Bács-Kiskun	Kunfehértó
1722	22567	5340	10	Jász-Nagykun-Szolnok	Kunhegyes
1723	23171	5321	10	Jász-Nagykun-Szolnok	Kunmadaras
1724	31918	6096	1	Bács-Kiskun	Kunpeszér
1725	31893	6115	1	Bács-Kiskun	Kunszállás
1726	32504	5440	10	Jász-Nagykun-Szolnok	Kunszentmárton
1727	32504	5449	10	Jász-Nagykun-Szolnok	Kunszentmárton
1728	28130	6090	1	Bács-Kiskun	Kunszentmiklós
1729	31626	9184	7	Gyõr-Moson-Sopron	Kunsziget
1730	26541	8595	18	Veszprém	Kup
1731	18722	3813	4	Borsod-Abaúj-Zemplén	Kupa
1732	20507	7226	16	Tolna	Kurd
1733	11819	3732	4	Borsod-Abaúj-Zemplén	Kurityán
1734	19479	8919	19	Zala	Kustánszeg
1735	28857	7541	14	Somogy	Kutas
1736	19451	3066	12	Nógrád	Kutasó
1737	14410	6755	5	Csongrád	Kübekháza
1738	32221	8978	19	Zala	Külsõsárd
1739	16142	9532	18	Veszprém	Külsõvat
1740	4066	8162	18	Veszprém	Küngös
1741	25247	7334	2	Baranya	Köblény
1742	4190	9553	17	Vas	Köcsk
1743	3540	7668	2	Baranya	Kökény
1744	16665	4965	15	Szabolcs-Szatmár-Bereg	Kölcse
1745	10463	7052	16	Tolna	Kölesd
1746	17899	7717	2	Baranya	Kölked
1747	14535	3372	9	Heves	Kömlõ
1748	7630	2853	11	Komárom-Esztergom	Kömlõd
1749	13806	6134	1	Bács-Kiskun	Kömpöc
1750	23612	4943	15	Szabolcs-Szatmár-Bereg	Kömörõ
1751	13532	9900	17	Vas	Körmend
1752	13532	9909	17	Vas	Körmend
1753	30553	2851	11	Komárom-Esztergom	Környe
1754	26602	3577	4	Borsod-Abaúj-Zemplén	Köröm
1755	11615	5516	3	Békés	Körösladány
1756	10764	5539	3	Békés	Körösnagyharsány
1757	31130	4136	8	Hajdú-Bihar	Körösszakál
1758	8943	4135	8	Hajdú-Bihar	Körösszegapáti
1759	12900	5622	3	Békés	Köröstarcsa
1760	30164	5536	3	Békés	Körösújfalu
1761	18148	8627	14	Somogy	Kötcse
1762	6804	5725	3	Békés	Kötegyán
1763	9955	6912	5	Csongrád	Kövegy
1764	25858	8274	18	Veszprém	Köveskál
1765	15255	2541	11	Komárom-Esztergom	Lábatlan
1766	28291	7551	14	Somogy	Lábod
1767	20844	3967	4	Borsod-Abaúj-Zemplén	Lácacséke
1768	16258	7535	14	Somogy	Lad
1769	5786	6045	1	Bács-Kiskun	Ladánybene
1770	26231	3780	4	Borsod-Abaúj-Zemplén	Ládbesenyõ
1771	7506	8136	6	Fejér	Lajoskomárom
1772	17677	6050	1	Bács-Kiskun	Lajosmizse
1773	15857	3786	4	Borsod-Abaúj-Zemplén	Lak
1774	33792	8913	19	Zala	Lakhegy
1775	6202	6065	1	Bács-Kiskun	Lakitelek
1776	11040	7918	14	Somogy	Lakócsa
1777	33330	7759	2	Baranya	Lánycsók
1778	14605	7214	16	Tolna	Lápafõ
1779	6479	7775	2	Baranya	Lapáncsa
1780	21290	4543	15	Szabolcs-Szatmár-Bereg	Laskod
1781	3434	8887	19	Zala	Lasztonya
1782	14863	8681	14	Somogy	Látrány
1783	4376	9089	7	Gyõr-Moson-Sopron	Lázi
1784	30809	2016	13	Pest	Leányfalu
1785	25487	2518	11	Komárom-Esztergom	Leányvár
1786	33668	9155	7	Gyõr-Moson-Sopron	Lébény
1787	30395	2619	12	Nógrád	Legénd
1788	11660	3904	4	Borsod-Abaúj-Zemplén	Legyesbénye
1789	3531	3832	4	Borsod-Abaúj-Zemplén	Léh
1790	7038	3648	4	Borsod-Abaúj-Zemplén	Lénárddaróc
1791	27483	8978	19	Zala	Lendvadedes
1792	11475	8977	19	Zala	Lendvajakabfa
1793	24411	7184	16	Tolna	Lengyel
1794	26675	8693	14	Somogy	Lengyeltóti
1795	12575	8960	19	Zala	Lenti
1796	12575	8966	19	Zala	Lenti
1797	7269	8132	6	Fejér	Lepsény
1798	17570	8318	18	Veszprém	Lesencefalu
1799	21962	8319	18	Veszprém	Lesenceistvánd
1800	17871	8318	18	Veszprém	Lesencetomaj
1801	5768	4281	8	Hajdú-Bihar	Létavértes
1802	5768	4283	8	Hajdú-Bihar	Létavértes
1803	12122	8868	19	Zala	Letenye
1804	22682	2632	13	Pest	Letkés
1805	19239	9221	7	Gyõr-Moson-Sopron	Levél
1806	30979	4555	15	Szabolcs-Szatmár-Bereg	Levelek
1807	32355	8707	14	Somogy	Libickozma
1808	3054	8981	19	Zala	Lickóvadamos
1809	17604	7331	2	Baranya	Liget
1810	28200	8782	19	Zala	Ligetfalva
1811	16221	9233	7	Gyõr-Moson-Sopron	Lipót
1812	22974	7781	2	Baranya	Lippó
1813	10038	7757	2	Baranya	Liptód
1814	10889	8888	19	Zala	Lispeszentadorján
1815	25025	8831	19	Zala	Liszó
1816	4552	8196	18	Veszprém	Litér
1817	28219	3866	4	Borsod-Abaúj-Zemplén	Litka
1818	4871	3186	12	Nógrád	Litke
1819	29081	9634	17	Vas	Lócs
1820	18856	8425	18	Veszprém	Lókút
1821	21209	5743	3	Békés	Lõkösháza
1822	26091	4836	15	Szabolcs-Szatmár-Bereg	Lónya
1823	9140	2309	13	Pest	Lórév
1824	30401	3021	9	Heves	Lõrinci
1825	30401	3022	9	Heves	Lõrinci
1826	30401	3024	9	Heves	Lõrinci
1827	31389	7761	2	Baranya	Lothárd
1828	5564	8228	18	Veszprém	Lovas
1829	19114	8093	6	Fejér	Lovasberény
1830	24624	7720	2	Baranya	Lovászhetény
1831	28167	8878	19	Zala	Lovászi
1832	5087	8553	18	Veszprém	Lovászpatona
1833	20190	3129	12	Nógrád	Lucfalva
1834	2778	3188	12	Nógrád	Ludányhalászi
1835	15796	3274	9	Heves	Ludas
1836	14021	9724	17	Vas	Lukácsháza
1837	10010	8660	14	Somogy	Lulla
1838	18865	7838	2	Baranya	Lúzsok
1839	31194	9461	7	Gyõr-Moson-Sopron	Lövõ
1840	7995	4633	15	Szabolcs-Szatmár-Bereg	Lövõpetri
1841	3902	3909	4	Borsod-Abaúj-Zemplén	Mád
1842	23357	6456	1	Bács-Kiskun	Madaras
1843	29337	7026	16	Tolna	Madocsa
1844	26444	9169	7	Gyõr-Moson-Sopron	Maglóca
1845	10922	2234	13	Pest	Maglód
1846	6813	7342	2	Baranya	Mágocs
1847	29984	4953	15	Szabolcs-Szatmár-Bereg	Magosliget
1848	16629	4556	15	Szabolcs-Szatmár-Bereg	Magy
1849	27678	8071	6	Fejér	Magyaralmás
1850	10427	7463	14	Somogy	Magyaratád
1851	27906	5667	3	Békés	Magyarbánhegyes
1852	25177	7775	2	Baranya	Magyarbóly
1853	5962	6932	5	Csongrád	Magyarcsanád
1854	11536	5838	3	Békés	Magyardombegyház
1855	29753	7332	2	Baranya	Magyaregregy
1856	25371	7441	14	Somogy	Magyaregres
1857	8916	8973	19	Zala	Magyarföld
1858	26967	3133	12	Nógrád	Magyargéc
1859	26374	8517	18	Veszprém	Magyargencs
1860	5430	7394	2	Baranya	Magyarhertelend
1861	3683	4137	8	Hajdú-Bihar	Magyarhomorog
1862	13912	9346	7	Gyõr-Moson-Sopron	Magyarkeresztúr
1863	6017	7098	16	Tolna	Magyarkeszi
1864	3221	9962	17	Vas	Magyarlak
1865	23542	7925	2	Baranya	Magyarlukafa
1866	5412	7954	2	Baranya	Magyarmecske
1867	27289	9909	17	Vas	Magyarnádalja
1868	32407	2694	12	Nógrád	Magyarnándor
1869	20437	8449	18	Veszprém	Magyarpolány
1870	27067	7761	2	Baranya	Magyarsarlós
1871	17288	9912	17	Vas	Magyarszecsõd
1872	22600	7396	2	Baranya	Magyarszék
1873	2909	8776	19	Zala	Magyarszentmiklós
1874	13064	8776	19	Zala	Magyarszerdahely
1875	25423	9946	17	Vas	Magyarszombatfa
1876	4385	7954	2	Baranya	Magyartelek
1877	10755	2339	13	Pest	Majosháza
1878	27863	7783	2	Baranya	Majs
1879	4394	2322	13	Pest	Makád
1880	19600	3959	4	Borsod-Abaúj-Zemplén	Makkoshotyka
1881	27696	3397	9	Heves	Maklár
1882	7357	6900	5	Csongrád	Makó
1883	7357	6903	5	Csongrád	Makó
1884	3610	8533	18	Veszprém	Malomsok
1885	27395	3434	4	Borsod-Abaúj-Zemplén	Mályi
1886	14915	3645	4	Borsod-Abaúj-Zemplén	Mályinka
1887	2088	4942	15	Szabolcs-Szatmár-Bereg	Mánd
1888	17826	4644	15	Szabolcs-Szatmár-Bereg	Mándok
1889	33923	7304	2	Baranya	Mánfa
1890	23490	2065	6	Fejér	Mány
1891	29920	7733	2	Baranya	Maráza
1892	29294	9534	18	Veszprém	Marcalgergelyi
1893	18500	8700	14	Somogy	Marcali
1894	18500	8709	14	Somogy	Marcali
1895	18500	8714	14	Somogy	Marcali
1896	22220	8531	18	Veszprém	Marcaltõ
1897	22220	8532	18	Veszprém	Marcaltõ
1898	9450	7817	2	Baranya	Márfa
1899	22637	2527	11	Komárom-Esztergom	Máriahalom
1900	12283	9231	7	Gyõr-Moson-Sopron	Máriakálnok
1901	14483	7663	2	Baranya	Máriakéménd
1902	4570	2629	13	Pest	Márianosztra
1903	19655	4326	15	Szabolcs-Szatmár-Bereg	Máriapócs
1904	16540	3262	9	Heves	Markaz
1905	14641	3075	12	Nógrád	Márkháza
1906	32212	8441	18	Veszprém	Márkó
1907	16443	7967	2	Baranya	Markóc
1908	6770	9164	7	Gyõr-Moson-Sopron	Markotabödöge
1909	2103	8888	19	Zala	Maróc
1910	15219	7960	2	Baranya	Marócsa
1911	20659	7774	2	Baranya	Márok
1912	31981	8976	19	Zala	Márokföld
1913	33224	4932	15	Szabolcs-Szatmár-Bereg	Márokpapi
1914	10515	6921	5	Csongrád	Maroslele
1915	25733	6636	5	Csongrád	Mártély
1916	2626	5435	10	Jász-Nagykun-Szolnok	Martfû
1917	2228	7720	2	Baranya	Martonfa
1918	4659	2462	6	Fejér	Martonvásár
1919	2024	3755	4	Borsod-Abaúj-Zemplén	Martonyi
1920	18874	4700	15	Szabolcs-Szatmár-Bereg	Mátészalka
1921	27809	6452	1	Bács-Kiskun	Mátételke
1922	19965	3247	9	Heves	Mátraballa
1923	14872	3246	9	Heves	Mátraderecske
1924	20075	3155	12	Nógrád	Mátramindszent
1925	19372	3143	12	Nógrád	Mátranovák
1926	19372	3144	12	Nógrád	Mátranovák
1927	24332	3142	12	Nógrád	Mátraszele
1928	29045	3234	9	Heves	Mátraszentimre
1929	29045	3235	9	Heves	Mátraszentimre
1930	4330	3068	12	Nógrád	Mátraszõlõs
1931	33525	3145	12	Nógrád	Mátraterenye
1932	33525	3146	12	Nógrád	Mátraterenye
1933	30100	3077	12	Nógrád	Mátraverebély
1934	15051	7854	2	Baranya	Matty
1935	16948	8134	6	Fejér	Mátyásdomb
1936	20668	4835	15	Szabolcs-Szatmár-Bereg	Mátyus
1937	33756	7351	2	Baranya	Máza
1938	13444	7695	2	Baranya	Mecseknádasd
1939	11402	7300	2	Baranya	Mecsekpölöske
1940	27359	9176	7	Gyõr-Moson-Sopron	Mecsér
1941	20765	5663	3	Békés	Medgyesbodzás
1942	20765	5664	3	Békés	Medgyesbodzás
