ID	KSH	ISZ	MEGYE_ID	MEGYE	TELEPULES
1943	30128	5666	3	Békés	Medgyesegyháza
1944	30128	5752	3	Békés	Medgyesegyháza
1945	30562	7057	16	Tolna	Medina
1946	25760	9757	17	Vas	Meggyeskovácsi
1947	21768	3718	4	Borsod-Abaúj-Zemplén	Megyaszó
1948	30872	9754	17	Vas	Megyehid
1949	4987	8348	18	Veszprém	Megyer
1950	23931	5726	3	Békés	Méhkerék
1951	29799	4975	15	Szabolcs-Szatmár-Bereg	Méhtelek
1952	30492	7344	2	Baranya	Mekényes
1953	16018	6449	1	Bács-Kiskun	Mélykút
1954	27137	8271	18	Veszprém	Mencshely
1955	3692	2235	13	Pest	Mende
1956	25618	3871	4	Borsod-Abaúj-Zemplén	Méra
